REP_PERIOD,FUND_TYP,COD_BUDGET,COD_FINA,NAME_FIN,ZAT_AMT,FAKT_AMT,CITY
2021-01-31,T,2.3576e+10,601000,"Зміни обсягів депозитів і цінних паперів, що використовуються для управління ліквідністю",0,-30046455.22,Cherkasy
2021-01-31,S,2.3576e+10,602304,Інші розрахунки,0,9817347,Cherkasy
2021-01-31,C,2.3576e+10,602200,На кінець періоду,9540765.81,52685228.58,Cherkasy
2021-01-31,C,2.3576e+10,600000,Фінансування за активними операціями,-305774171.51,-71019317.59,Cherkasy
2021-01-31,C,2.3576e+10,601100,"Повернення бюджетних коштів з депозитів, надходження внаслідок продажу/пред'явлення цінних паперів",27874854.81,0,Cherkasy
2021-01-31,T,2.3576e+10,601200,"Розміщення бюджетних коштів на депозитах, придбання цінних паперів",-30046455.22,-30046455.22,Cherkasy
2021-01-31,T,2.3576e+10,602100,На початок періоду,22015262.88,11695853.89,Cherkasy
2021-01-31,T,2.3576e+10,601210,Розміщення бюджетних коштів на депозитах,-30046455.22,-30046455.22,Cherkasy
2021-01-31,S,2.3576e+10,602200,На кінець періоду,12474497.07,10965768.55,Cherkasy
2021-01-31,C,2.3576e+10,601200,"Розміщення бюджетних коштів на депозитах, придбання цінних паперів",-27874854.81,-27874854.81,Cherkasy
2021-01-31,T,2.3576e+10,602000,Зміни обсягів бюджетних коштів,0,-42137796.25,Cherkasy
2021-01-31,C,2.3576e+10,602100,На початок періоду,9540765.81,9540765.81,Cherkasy
2021-01-31,S,2.3576e+10,602100,На початок періоду,12474497.07,2155088.08,Cherkasy
2021-01-31,C,2.3576e+10,602300,Інші розрахунки,0,-0.01,Cherkasy
2021-01-31,S,2.3576e+10,602400,"Кошти, що передаються із загального фонду бюджету до бюджету розвитку (спеціального фонду)",305774171.51,0,Cherkasy
2021-01-31,S,2.3576e+10,600000,Фінансування за активними операціями,305774171.51,-1164933.88,Cherkasy
2021-01-31,S,2.3576e+10,601000,"Зміни обсягів депозитів і цінних паперів, що використовуються для управління ліквідністю",0,-2171600.41,Cherkasy
2021-01-31,S,2.3576e+10,601210,Розміщення бюджетних коштів на депозитах,-2171600.41,-2171600.41,Cherkasy
2021-01-31,C,2.3576e+10,602000,Зміни обсягів бюджетних коштів,-305774171.51,-43144462.78,Cherkasy
2021-01-31,C,2.3576e+10,602400,"Кошти, що передаються із загального фонду бюджету до бюджету розвитку (спеціального фонду)",-305774171.51,0,Cherkasy
2021-01-31,T,2.3576e+10,601100,"Повернення бюджетних коштів з депозитів, надходження внаслідок продажу/пред'явлення цінних паперів",30046455.22,0,Cherkasy
2021-01-31,T,2.3576e+10,601110,Повернення бюджетних коштів з депозитів,30046455.22,0,Cherkasy
2021-01-31,S,2.3576e+10,601200,"Розміщення бюджетних коштів на депозитах, придбання цінних паперів",-2171600.41,-2171600.41,Cherkasy
2021-01-31,T,2.3576e+10,602200,На кінець періоду,22015262.88,63650997.13,Cherkasy
2021-01-31,T,2.3576e+10,602300,Інші розрахунки,0,9817346.99,Cherkasy
2021-01-31,C,2.3576e+10,602304,Інші розрахунки,0,-0.01,Cherkasy
2021-01-31,S,2.3576e+10,601100,"Повернення бюджетних коштів з депозитів, надходження внаслідок продажу/пред'явлення цінних паперів",2171600.41,0,Cherkasy
2021-01-31,C,2.3576e+10,601110,Повернення бюджетних коштів з депозитів,27874854.81,0,Cherkasy
2021-01-31,C,2.3576e+10,601210,Розміщення бюджетних коштів на депозитах,-27874854.81,-27874854.81,Cherkasy
2021-01-31,S,2.3576e+10,602300,Інші розрахунки,0,9817347,Cherkasy
2021-01-31,T,2.3576e+10,602304,Інші розрахунки,0,9817346.99,Cherkasy
2021-01-31,T,2.3576e+10,600000,Фінансування за активними операціями,0,-72184251.47,Cherkasy
2021-01-31,C,2.3576e+10,601000,"Зміни обсягів депозитів і цінних паперів, що використовуються для управління ліквідністю",0,-27874854.81,Cherkasy
2021-01-31,S,2.3576e+10,602000,Зміни обсягів бюджетних коштів,305774171.51,1006666.53,Cherkasy
2021-01-31,S,2.3576e+10,601110,Повернення бюджетних коштів з депозитів,2171600.41,0,Cherkasy
2021-01-31,S,2.5559e+10,602000,Зміни обсягів бюджетних коштів,589466044,72598090.33,Chernihiv
2021-01-31,S,2.5559e+10,601110,Повернення бюджетних коштів з депозитів,525000000,0,Chernihiv
2021-01-31,T,2.5559e+10,402202,Середньострокові зобов'язання,-2821991,0,Chernihiv
