REP_PERIOD,FUND_TYP,COD_BUDGET,COD_CONS_EK,COD_CONS_EK_NAME,ZAT_AMT,PLANS_AMT,FAKT_AMT,FAKT_V2MB_AMT,FAKTSIK_AMT,FAKTSIK_V2MB_AMT,FAKTSPP_AMT,FAKTSPP_V2MB_AMT,FAKTSID_AMT,FAKTSID_V2MB_AMT,CITY
2021-01-31,T,2.3576e+10,2111,Заробітна плата,1198697162.7,1198484862.7,85997104.27,NA,NA,NA,NA,NA,NA,NA,Cherkasy
2021-01-31,C,2.3576e+10,2620,Поточні трансферти органам державного управління інших рівнів,105636000,0,8803000,NA,NA,NA,NA,NA,NA,NA,Cherkasy
2021-01-31,S,2.3576e+10,2271,Оплата теплопостачання,2609412,2610212,411.62,NA,0,NA,411.62,NA,0,NA,Cherkasy
2021-01-31,C,2.3576e+10,2282,"Окремі заходи по реалізації державних (регіональних) програм, не віднесені до заходів розвитку",32270138,32270138,0,NA,NA,NA,NA,NA,NA,NA,Cherkasy
2021-01-31,C,2.3576e+10,2275,Оплата інших енергоносіїв та інших комунальних послуг,1483076,1483076,1462.24,NA,NA,NA,NA,NA,NA,NA,Cherkasy
2021-01-31,T,2.3576e+10,2250,Видатки на відрядження,2073763,2073763,1680,NA,NA,NA,NA,NA,NA,NA,Cherkasy
2021-01-31,T,2.3576e+10,2240,Оплата послуг (крім комунальних),180207482.18,180556748.18,890759.66,NA,NA,NA,NA,NA,NA,NA,Cherkasy
2021-01-31,C,2.3576e+10,2271,Оплата теплопостачання,65504014,65504014,500,NA,NA,NA,NA,NA,NA,NA,Cherkasy
2021-01-31,C,2.3576e+10,2120,Нарахування на оплату праці,252884080.3,252884080.3,17957631.9,NA,NA,NA,NA,NA,NA,NA,Cherkasy
2021-01-31,S,2.3576e+10,2282,"Окремі заходи по реалізації державних (регіональних) програм, не віднесені до заходів розвитку",85022,95022,0,NA,0,NA,0,NA,0,NA,Cherkasy
2021-01-31,C,2.3576e+10,2250,Видатки на відрядження,1785773,1785773,1680,NA,NA,NA,NA,NA,NA,NA,Cherkasy
2021-01-31,C,2.3576e+10,2274,Оплата природного газу,420966,420966,840.46,NA,NA,NA,NA,NA,NA,NA,Cherkasy
2021-01-31,C,2.3576e+10,2720,Стипендії,11273680,11273680,938201.56,NA,NA,NA,NA,NA,NA,NA,Cherkasy
2021-01-31,S,2.3576e+10,2720,Стипендії,0,490,490,NA,0,NA,0,NA,490,NA,Cherkasy
2021-01-31,S,2.3576e+10,2111,Заробітна плата,23285827,23073527,1014150.95,NA,0,NA,1014150.95,NA,0,NA,Cherkasy
2021-01-31,T,2.3576e+10,2800,Інші поточні видатки,2401316,2401316,86525.51,NA,NA,NA,NA,NA,NA,NA,Cherkasy
2021-01-31,T,2.3576e+10,2210,"Предмети, матеріали, обладнання та інвентар",30482373,31207519.61,1631771.57,NA,NA,NA,NA,NA,NA,NA,Cherkasy
2021-01-31,C,2.3576e+10,2273,Оплата електроенергії,34723709,34723709,43364.81,NA,NA,NA,NA,NA,NA,NA,Cherkasy
2021-01-31,T,2.3576e+10,2273,Оплата електроенергії,35858974,35922548.91,43805.81,NA,NA,NA,NA,NA,NA,NA,Cherkasy
2021-01-31,S,2.3576e+10,2800,Інші поточні видатки,297509,297509,4414.28,NA,0,NA,4414.28,NA,0,NA,Cherkasy
2021-01-31,T,2.3576e+10,2282,"Окремі заходи по реалізації державних (регіональних) програм, не віднесені до заходів розвитку",32355160,32365160,0,NA,NA,NA,NA,NA,NA,NA,Cherkasy
2021-01-31,C,2.3576e+10,2220,Медикаменти та перев'язувальні матеріали,384086,384086,0,NA,NA,NA,NA,NA,NA,NA,Cherkasy
2021-01-31,S,2.3576e+10,2250,Видатки на відрядження,287990,287990,0,NA,0,NA,0,NA,0,NA,Cherkasy
2021-01-31,C,2.3576e+10,2730,Інші виплати населенню,67944871,67944871,993634.09,NA,NA,NA,NA,NA,NA,NA,Cherkasy
2021-01-31,S,2.3576e+10,2274,Оплата природного газу,4109,4109,0,NA,0,NA,0,NA,0,NA,Cherkasy
